stn,stn_no,start_yr,end_yr
Tucson,1,1987,2025
Yuma Valley,2,1987,2025
Safford,4,1987,2025
Coolidge,5,1987,2025
Maricopa,6,1987,2025
Aguila,7,1987,2025
Parker #1,8,1987,2025
Bonita,9,1987,2025
Phoenix Greenway,12,1987,2025
Yuma North Gila,14,1988,2025
Phoenix Encanto,15,1988,2025
Paloma,19,1991,2025
Mohave,20,1992,2025
Queen Creek,22,1995,2025
Harquahala,23,1996,2025
Roll,24,1997,2025
Buckeye,26,1998,2025
Desert Ridge,27,2002,2025
Mohave #2,28,2003,2025
Payson,32,2003,2025
Bowie,33,2004,2025
Parker #2,35,2009,2025
Yuma South,36,2009,2025
San Simon,37,2011,2025
Sahuarita,38,2013,2025
Willcox Bench,39,2016,2025
"Fort Mohave, CA",40,2017,2025
Salome,41,2018,2025
