station_name,station_number,obs_year,obs_doy,obs_hour,cols_diff,obs_datetime,obs_hrly_temp_air,obs_hrly_relative_humidity,obs_hrly_vpd,obs_hrly_sol_rad_total,obs_hrly_precip_total,obs_hrly_wind_spd,obs_hrly_wind_vector_magnitude,obs_hrly_wind_vector_dir,obs_hrly_wind_vector_dir_stand_dev,obs_hrly_wind_spd_max,obs_hrly_derived_eto_azmet,heat_units,obs_hrly_temp_soil_10cm,obs_hrly_temp_soil_50cm,obs_hrly_actual_vp,obs_hrly_derived_dwpt,station_id
Aguila,7,1987,365,24,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_sol_rad_total, obs_hrly_precip_total, obs_hrly_wind_spd, obs_hrly_wind_vector_magnitude, obs_hrly_wind_vector_dir, obs_hrly_wind_vector_dir_stand_dev, obs_hrly_wind_spd_max, obs_hrly_derived_eto_azmet, heat_units, obs_hrly_temp_soil_10cm",1988-01-01T00:00:00Z,3.4,41.9,0.5,0,0,1.4,1.2,1,25,2.4,0.01,0,5.4,NA,NA,NA,az07
Aguila,7,1987,365,24,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_sol_rad_total, obs_hrly_precip_total, obs_hrly_wind_spd, obs_hrly_wind_vector_magnitude, obs_hrly_wind_vector_dir, obs_hrly_wind_vector_dir_stand_dev, obs_hrly_wind_spd_max, obs_hrly_derived_eto_azmet, heat_units, obs_hrly_temp_soil_10cm",1988-01-01T00:00:00Z,12.5,-0.8,4.9,70.7,20.8,9.94,0,11.9,1.8,6,9,2.9,0.5,NA,NA,NA,az07
Bonita,9,1987,365,24,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_sol_rad_total, obs_hrly_precip_total, obs_hrly_wind_spd, obs_hrly_wind_vector_magnitude, obs_hrly_wind_vector_dir, obs_hrly_wind_vector_dir_stand_dev, obs_hrly_wind_spd_max, obs_hrly_derived_eto_azmet, heat_units, obs_hrly_temp_soil_10cm",1988-01-01T00:00:00Z,-1.7,77.9,0.1,0,0,1.6,1.5,32,24,2.2,-0.01,0,2.2,NA,NA,NA,az09
Bonita,9,1987,365,24,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_sol_rad_total, obs_hrly_precip_total, obs_hrly_wind_spd, obs_hrly_wind_vector_magnitude, obs_hrly_wind_vector_dir, obs_hrly_wind_vector_dir_stand_dev, obs_hrly_wind_spd_max, obs_hrly_derived_eto_azmet, heat_units, obs_hrly_temp_soil_10cm",1988-01-01T00:00:00Z,10,-5,1.1,90,29,9.96,0,8.8,0.4,3.1,7.1,0.9,0.3,NA,NA,NA,az09
Coolidge,5,1987,365,24,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_sol_rad_total, obs_hrly_precip_total, obs_hrly_wind_spd, obs_hrly_wind_vector_magnitude, obs_hrly_wind_vector_dir, obs_hrly_wind_vector_dir_stand_dev, obs_hrly_wind_spd_max, obs_hrly_derived_eto_azmet, heat_units, obs_hrly_temp_soil_10cm",1988-01-01T00:00:00Z,0.9,74.3,0.2,0,0,1.1,1.1,142,21,2.2,-0.01,0,6.4,NA,NA,NA,az05
Coolidge,5,1987,365,24,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_sol_rad_total, obs_hrly_precip_total, obs_hrly_wind_spd, obs_hrly_wind_vector_magnitude, obs_hrly_wind_vector_dir, obs_hrly_wind_vector_dir_stand_dev, obs_hrly_wind_spd_max, obs_hrly_derived_eto_azmet, heat_units, obs_hrly_temp_soil_10cm",1988-01-01T00:00:00Z,13.5,-3,4.3,91.3,24.9,9.07,0,10.9,1.6,5.6,9.8,3.6,0.4,NA,NA,NA,az05
Desert Ridge,27,2012,142,16,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_derived_eto_azmet, obs_hrly_actual_vp, obs_hrly_derived_dwpt",2012-05-21T16:00:00Z,NA,NA,NA,2.41,0,2.8,2.2,270,37,5.8,NA,NA,27.3,23.1,NA,NA,az27
Desert Ridge,27,2012,142,16,"obs_hrly_temp_air, obs_hrly_relative_humidity, obs_hrly_vpd, obs_hrly_derived_eto_azmet, obs_hrly_actual_vp, obs_hrly_derived_dwpt",2012-05-21T16:00:00Z,38.2,7.5,6.2,2.41,0,2.8,2.2,270,37,5.8,0.71,NA,27.3,23.1,0.5,-2.6,az27
Harquahala,23,1996,324,1,obs_hrly_derived_eto_azmet,1996-11-19T01:00:00Z,9.6,39.2,0.7,0,0,0.4,0.4,14,7,1.4,0.01,0,16.7,NA,NA,NA,az23
Harquahala,23,1996,324,1,obs_hrly_derived_eto_azmet,1996-11-19T01:00:00Z,9.6,39.2,0.7,0,0,0.4,0.4,14,7,1.4,-0.06,0,16.7,NA,NA,NA,az23
